id,shop,category,sub_category,item_name,description,price_base,weight,limited_stock,rural,urban
1,,Armor,Light Armor,Padded,Padded armor consists of quilted layers of cloth and batting (layers or sheets of raw cotton or wool).,5.0,3.63,False,False,False
2,,Armor,Light Armor,Leather,The breastplate and shoulder protectors of this armor are made of leather that has been stiffened by being boiled in oil. The rest of the armor is made of softer and more flexible materials.,10.0,4.54,False,False,False
3,,Armor,Light Armor,Studded Leather,"Made from tough but flexible leather, studded leather is reinforced with close-set rivets or spikes.",45.0,5.9,False,False,False
4,,Armor,Medium Armor,Hide,"This crude armor consists of thick furs and pelts. It is commonly worn by barbarian tribes, evil humanoids, and other folk who lack access to the tools and materials needed to create better armor.",10.0,5.44,False,False,False
5,,Armor,Medium Armor,Chain Shirt,"Made of interlocking metal rings, a chain shirt is worn between layers of clothing or leather. This armor offers modest protection to the wearer's upper body and allows the sound of the rings rubbing against one another to be muffled by outer layers.",50.0,9.07,False,False,False
6,,Armor,Medium Armor,Scale Mail,"This armor consists of a coat and leggings (and perhaps a separate skirt) of leather covered with overlapping pieces of metal, much like the scales of a fish. The suit includes gauntlets.",50.0,20.41,False,False,False
7,,Armor,Medium Armor,Breastplate,"This armor consists of a fitted metal chest piece worn with supple leather. Although it leaves the legs and arms relatively unprotected, this armor provides good protection for the wearer's vital organs while leaving the wearer relatively unencumbered.",400.0,9.07,False,False,False
8,,Armor,Medium Armor,Half Plate,Half plate consists of shaped metal plates that cover most of the wearer's body. It does not include leg protection beyond simple greaves that are attached with leather straps.,750.0,18.14,False,False,False
9,,Armor,Heavy Armor,Ring Mail,"This armor is leather armor with heavy rings sewn into it. The rings help reinforce the armor against blows from swords and axes. Ring mail is inferior to chain mail, and it's usually worn only by those who can't afford better armor.",30.0,18.14,False,False,False
10,,Armor,Heavy Armor,Chain Mail,"Made of interlocking metal rings, chain mail includes a layer of quilted fabric worn underneath the mail to prevent chafing and to cushion the impact of blows. The suit includes gauntlets.",75.0,24.95,False,False,False
11,,Armor,Heavy Armor,Plate,"Plate consists of shaped, interlocking metal plates to cover the entire body. A suit of plate includes gauntlets, heavy leather boots, a visored helmet, and thick layers of padding underneath the armor. Buckles and straps distribute the weight over the body.",1500.0,29.48,False,False,False
