id,shop,category,sub_category,item_name,description,price_base,weight,limited_stock,rural,urban
1,shop-adventurer,Armor,Light Armor,Padded,Padded armor consists of quilted layers of cloth and batting (layers or sheets of raw cotton or wool).,5.0,3.63,False,False,True
2,shop-adventurer,Armor,Light Armor,Leather,The breastplate and shoulder protectors of this armor are made of leather that has been stiffened by being boiled in oil. The rest of the armor is made of softer and more flexible materials.,10.0,4.54,False,False,True
3,shop-adventurer,Armor,Light Armor,Studded Leather,"Made from tough but flexible leather, studded leather is reinforced with close-set rivets or spikes.",45.0,5.9,False,False,False
4,shop-adventurer,Armor,Medium Armor,Hide,"This crude armor consists of thick furs and pelts. It is commonly worn by barbarian tribes, evil humanoids, and other folk who lack access to the tools and materials needed to create better armor.",10.0,5.44,False,True,True
5,shop-adventurer,Weapons,Simple Melee Weapons,Club,"A short staff or stick, usually made of wood. Proficiency with a club allows you to add your proficiency bonus to the attack roll for any attack you make with it.",0.1,0.91,False,True,False
6,shop-adventurer,Weapons,Simple Melee Weapons,Dagger,A knife with a very sharp point and usually two sharp edges. Proficiency with a dagger allows you to add your proficiency bonus to the attack roll for any attack you make with it.,2.0,0.45,True,True,True
7,shop-adventurer,Weapons,Simple Melee Weapons,Greatclub,"A large heavy shaft, typically made of wood. Proficiency with a greatclub allows you to add your proficiency bonus to the attack roll for any attack you make with it.",0.2,4.54,False,True,True
8,shop-adventurer,Weapons,Simple Melee Weapons,Handaxe,"A wood composite handle with a sharp edged head (called a 'bit'), typically made of iron or steel. Proficiency with a handaxe allows you to add your proficiency bonus to the attack roll for any attack you make with it.",5.0,0.91,True,True,True
9,shop-adventurer,Weapons,Simple Melee Weapons,Light Hammer,"The light hammer is a small sledge hammer, usually with a haft made of wood about one and a half feet long. Some have a pick on the back of the hammer head. Proficiency with a light hammer allows you to add your proficiency bonus to the attack roll for any attack you make with it.",2.0,0.91,False,True,True
10,shop-adventurer,Weapons,Simple Melee Weapons,Quarterstaff,"A staff of wood from 6 to 9 feet (about 2 to 3 m) long, used for attack and defense. Proficiency with a quarterstaff allows you to add your proficiency bonus to the attack roll for any attack you make with it.",0.2,1.81,False,True,True
11,shop-adventurer,Weapons,Simple Ranged Weapons,Light Crossbow,A ranged weapon that uses an elastic launching device consisting of a bow-like assembly mounted horizontally on a main frame. Proficiency with a light crossbow allows you to add your proficiency bonus to the attack roll for any attack you make with it.,25.0,2.27,False,False,True
12,shop-adventurer,Weapons,Simple Ranged Weapons,Dart,"Darts are thrown, ranged weapons. They are designed to fly such that a sharp, often weighted point will strike first. They can be distinguished from javelins by the presence of fletching (feathers on the tail) and a shaft that is shorter and/or more flexible. Darts can be palm sized, or several feet long. Proficiency with a dart allows you to add your proficiency bonus to the attack roll for any attack you make with it.",0.05,0.11,False,True,True
13,shop-adventurer,Weapons,Simple Ranged Weapons,Shortbow,"The shortbow is a flexible shaft of wood (or horn or bone) about 3 to 4 feet long with the ends connected by strong cord or a gut string that is a little shorter than the shaft, causing the wood to bend and keep the string under tension. Proficiency with a shortbow allows you to add your proficiency bonus to the attack roll for any attack you make with it.",25.0,0.91,True,True,True
14,shop-adventurer,Weapons,Simple Ranged Weapons,Sling,"A sling is a projectile weapon typically used to throw a blunt projectile such as a stone, clay, or lead ""sling-bullet"". It is also known as the shepherd's sling. Proficiency with a sling allows you to add your proficiency bonus to the attack roll for any attack you make with it.",0.1,NULL,False,True,True
15,shop-adventurer,Weapons,Martial Melee Weapons,Whip,A strip of leather or length of cord fastened to a handle. Proficiency with a whip allows you to add your proficiency bonus to the attack roll for any attack you make with it.,2.0,1.36,False,True,True
16,shop-adventurer,Weapons,Martial Ranged Weapons,Blowgun,A blowgun is a simple ranged weapon consisting of a long narrow tube for shooting light projectiles such as small darts. Proficiency with a blowgun allows you to add your proficiency bonus to the attack roll for any attack you make with it.,10.0,0.45,False,True,False
17,shop-adventurer,Weapons,Martial Ranged Weapons,Hand Crossbow,"A small, light ranged weapon, typically mounted on the back of one's forearm, that uses an elastic launching device consisting of a bow-like assembly mounted horizontally on a main frame. Proficiency with a hand crossbow allows you to add your proficiency bonus to the attack roll for any attack you make with it.",75.0,1.36,False,False,True
18,shop-adventurer,Weapons,Martial Ranged Weapons,Heavy Crossbow,A heavy ranged weapon using an elastic launching device consisting of a bow-like assembly mounted horizontally on a main frame. Proficiency with a heavy crossbow allows you to add your proficiency bonus to the attack roll for any attack you make with it.,50.0,8.16,False,False,False
19,shop-adventurer,Weapons,Martial Ranged Weapons,Longbow,A tall bow – roughly equal to the height of the user – allowing the archer a fairly long draw. Its limbs are relatively narrow and are circular or D-shaped in cross section. Proficiency with a longbow allows you to add your proficiency bonus to the attack roll for any attack you make with it.,50.0,0.91,True,True,True
20,shop-adventurer,Adventuring Gear,Ammunition,Arrows,"20 arrows. Arrows are used with a weapon that has the ammunition property to make a ranged attack. Each time you attack with the weapon, you expend one piece of ammunition. Drawing the ammunition from a quiver, case, or other container is part of the attack (you need a free hand to load a one-handed weapon). At the end of the battle, you can recover half your expended ammunition by taking a minute to search the battlefield.",1.0,0.45,True,True,True
21,shop-adventurer,Adventuring Gear,Ammunition,Blowgun Needles (50),"Blowgun needles are used with a weapon that has the ammunition property to make a ranged attack. Each time you attack with the weapon, you expend one piece of ammunition. Drawing the ammunition from a quiver, case, or other container is part of the attack (you need a free hand to load a one-handed weapon). At the end of the battle, you can recover half your expended ammunition by taking a minute to search the battlefield.",1.0,0.45,False,True,False
22,shop-adventurer,Adventuring Gear,Ammunition,Crossbow Bolts,"20 crossbow bolts. Crossbow bolts are used with a weapon that has the ammunition property to make a ranged attack. Each time you attack with the weapon, you expend one piece of ammunition. Drawing the ammunition from a quiver, case, or other container is part of the attack (you need a free hand to load a one-handed weapon). At the end of the battle, you can recover half your expended ammunition by taking a minute to search the battlefield.",1.0,0.68,True,False,True
23,shop-adventurer,Adventuring Gear,Ammunition,Sling Bullets (20),"Sling bullets are used with a sling to make a ranged attack. Each time you attack with the weapon, you expend one piece of ammunition. Drawing the ammunition from a quiver, case, or other container is part of the attack (you need a free hand to load a one-handed weapon). At the end of the battle, you can recover half your expended ammunition by taking a minute to search the battlefield.",0.04,0.68,False,True,True
24,shop-adventurer,Adventuring Gear,default,Backpack,"A backpack is a leather pack carried on the back, typically with straps to secure it. A backpack can hold 1 cubic foot/ 30 pounds of gear. You can also strap items, such as a bedroll or a coil of rope, to the outside of a backpack.",2.0,2.27,True,True,True
25,shop-adventurer,Adventuring Gear,default,Bedroll,"You never know where you’re going to sleep, and a bedroll helps you get better sleep in a hayloft or on the cold ground. A bedroll consists of bedding and a blanket thin enough to be rolled up and tied. In an emergency, it can double as a stretcher.",1.0,3.18,True,True,True
26,shop-adventurer,Adventuring Gear,default,Blanket,"A thick, quilted, blanket made to keep you warm in cold weather.",0.5,1.36,True,True,True
27,shop-adventurer,Adventuring Gear,default,Block and Tackle,"A set of pulleys with a cable threaded through them and a hook to attach to objects, a block and tackle allows you to hoist up to four times the weight you can normally lift.",1.0,2.27,False,False,True
28,shop-adventurer,Adventuring Gear,default,"Bottle, glass",A bottle can hold 1 1/2 pints of liquid.,2.0,0.91,True,True,True
29,shop-adventurer,Adventuring Gear,default,Candle,"For 1 hour, a candle sheds bright light in a 5-foot radius and dim light for an additional 5 feet.",0.01,NULL,False,False,True
30,shop-adventurer,Adventuring Gear,default,"Case, Crossbow Bolt",This wooden case can hold up to twenty crossbow bolts.,1.0,0.45,False,False,True
31,shop-adventurer,Adventuring Gear,default,"Case, Map or Scroll",This cylindrical leather case can hold up to ten rolled-up sheets of paper or five rolled-up sheets of parchment.,1.0,0.45,False,True,True
32,shop-adventurer,Adventuring Gear,default,Chain (10 feet),A chain has 10 hit points. It can be burst with a successful DC 20 Strength check.,5.0,4.54,False,False,True
33,shop-adventurer,Adventuring Gear,default,Chest,A chest can hold 12 cubic feet/ 300 pounds of gear.,5.0,11.34,False,True,True
34,shop-adventurer,Adventuring Gear,default,Climber's Kit,"The use of a Climber’s Kit allows a creature to easily scale cliffs, castle walls, and more, as well as helping you not fall to your death if you do slip.",25.0,5.44,False,False,True
35,shop-adventurer,Adventuring Gear,default,"Clothes, Cold Weather","This outfit consists of a heavy fur coat or cloak over layers of wool clothing, as well as a fur-lined hat or hood, goggles, and fur-lined leather boots and gloves.",10.0,2.27,False,True,True
36,shop-adventurer,Adventuring Gear,default,"Clothes, Traveler's","This set of clothes could consist of boots, a wool skirt or breeches, a sturdy belt, a shirt (perhaps with a vest or jacket), and an ample cloak with a hood.",2.0,1.81,True,True,True
37,shop-adventurer,Adventuring Gear,default,Crowbar,Using a crowbar grants advantage to Strength checks where the crowbar's leverage can be applied.,2.0,2.27,True,True,True
38,shop-adventurer,Adventuring Gear,default,Crampons (2),A crampon is a metal plate with spikes that is strapped to the sole of a boot. A creature wearing crampons can't fall prone while moving across slippery ice.,2.0,0.11,False,False,False
39,shop-adventurer,Adventuring Gear,default,Flask or Tankard,A flask or tankard can hold 1 pint of liquid.,0.02,0.45,True,True,True
40,shop-adventurer,Adventuring Gear,default,Grappling Hook,"When tied to the end of a rope, a grappling hook can secure the rope to a battlement, window ledge, tree limb, or other protrusion.",2.0,1.81,True,False,True
41,shop-adventurer,Adventuring Gear,default,Ghillie Suit,"This suit is made of loose strips of green cloth, often looking like moss or grass from a distance. It is used by hunters when lying in wait in natural environments. Wearing the suit allows you to try to hide when you are only lightly obscured by foliage and cannot be worn with other clothing or armor.",50.0,1.81,True,False,False
42,shop-adventurer,Adventuring Gear,default,Hammer,This one-handed hammer with an iron head is useful for pounding pitons into a wall.,1.0,1.36,True,True,True
43,shop-adventurer,Adventuring Gear,default,Healer's Kit,"This kit is a leather pouch containing bandages, salves, and splints. The kit has ten uses. As an action, you can expend one use of the kit to stabilize a creature that has 0 hit points, without needing to make a Wisdom (Medicine) check.",5.0,1.36,False,False,False
44,shop-adventurer,Adventuring Gear,default,Hourglass,A standard hourglass used to measure the passage of time.,25.0,0.45,False,False,False
45,shop-adventurer,Adventuring Gear,default,Hunting Trap,"When you use your action to set it, this trap forms a saw-toothed steel ring that snaps shut when a creature steps on a pressure plate in the center. The trap is affixed by a heavy chain to an immobile object, such as a tree or a spike driven into the ground. A creature that steps on the plate must succeed on a DC 13 Dexterity saving throw or take 1d4 piercing damage and stop moving. Thereafter, until the creature breaks free of the trap, its movement is limited by the length of the chain (typically 3 feet long). A creature can use its action to make a DC 13 Strength check, freeing itself or another creature within its reach on a success. Each failed check deals 1 piercing damage to the trapped creature.",5.0,11.34,False,True,True
46,shop-adventurer,Adventuring Gear,default,Ink (1 ounce bottle),Ink is typically used with an ink pen to write.,10.0,NULL,False,False,False
47,shop-adventurer,Adventuring Gear,default,Ink Pen,An ink pen is a wooden stick with a special tip on the end. It can also be a feathered quill with a sharpened tip. The tip draws ink in when dipped in a vial and leaves an ink trail when drawn across a surface.,0.02,NULL,False,False,True
48,shop-adventurer,Adventuring Gear,default,Jug or Pitcher,A jug or pitcher can hold 1 gallon of liquid.,0.02,1.81,True,True,True
49,shop-adventurer,Adventuring Gear,default,Ladder (10 foot),"This item is a straight, simple wooden ladder.",0.1,11.34,False,False,True
50,shop-adventurer,Adventuring Gear,default,"Lantern, Bullseye","A bullseye lantern casts bright light in a 60-foot cone and dim light for an additional 60 feet. Once lit, it burns for 6 hours on a flask (1 pint) of oil.",10.0,0.91,False,False,True
51,shop-adventurer,Adventuring Gear,default,"Lantern, Hooded","A hooded lantern casts bright light in a 30-foot radius and dim light for an additional 30 feet. Once lit, it burns for 6 hours on a flask (1 pint) of oil. As an action, you can lower the hood, reducing the light to dim light in a 5-foot radius.",5.0,0.91,True,True,True
52,shop-adventurer,Adventuring Gear,default,Lock,"A key is provided with the lock. Without the key, a creature proficient with thieves' tools can pick this lock with a successful DC 15 Dexterity check. Your DM may decide that better locks are available for higher prices.",10.0,0.45,False,False,False
53,shop-adventurer,Adventuring Gear,default,Mess Kit,"This tin box contains a cup and simple cutlery. The box clamps together, and one side can be used as a cooking pan and the other as a plate or shallow bowl.",0.2,0.45,False,False,True
54,shop-adventurer,Adventuring Gear,default,"Mirror, Steel","A steel mirror is handy when you want to look around corners, signal friends with reflected sunlight, keep an eye on a medusa, make sure that you look good enough to present yourself to the queen, or examine wounds that you’ve received on hard-to-see parts of your body.",5.0,0.23,False,False,True
55,shop-adventurer,Adventuring Gear,default,Paper (one sheet),A sheet of standard paper is made from cloth fibers.,0.2,NULL,False,False,False
56,shop-adventurer,Adventuring Gear,default,Parchment (one sheet),A sheet of parchment is a piece of goat hide or sheepskin that has been prepared for writing on.,0.1,NULL,False,True,True
57,shop-adventurer,Adventuring Gear,default,"Pick, Miner's",A miner's pick is designed to concentrate the force of its blow on a small area.,2.0,4.54,False,True,True
58,shop-adventurer,Adventuring Gear,default,Piton,"When a wall doesn’t offer handholds and footholds, you can make your own. A piton is a steel spike with an eye through which you can loop a rope.",0.05,0.11,False,True,True
59,shop-adventurer,Adventuring Gear,default,Pole (10-foot),"When you suspect a trap, you can put the end of your 10-foot pole through that hole in the wall instead of reaching in with your hand.",0.05,3.18,False,True,True
60,shop-adventurer,Adventuring Gear,default,"Pot, Iron",An iron pot can hold 1 gallon of liquid.,2.0,4.54,True,True,True
61,shop-adventurer,Adventuring Gear,default,Pouch,"A cloth or leather pouch can hold 1/5 cubic foot/ 6 pounds of gear - or up to 20 sling bullets or 50 blowgun needles, among other things. Note: This is different from a- which is a compartmentalized pouch for holding spell components.",0.5,0.45,True,True,True
62,shop-adventurer,Adventuring Gear,default,Quiver,A quiver can hold up to 20 arrows.,1.0,0.45,True,True,True
63,shop-adventurer,Adventuring Gear,default,Rations (1 day),"Rations consist of dry foods suitable for extended travel, including jerky, dried fruit, hardtack, and nuts.",0.5,0.91,False,False,True
64,shop-adventurer,Adventuring Gear,default,"Rope, Hempen (50 feet)","Rope, has 2 hit points and can be burst with a DC 17 Strength check.",1.0,4.54,True,True,True
65,shop-adventurer,Adventuring Gear,default,"Rope, Silk (50 feet)","Rope, has 2 hit points and can be burst with a DC 17 Strength check.",10.0,2.27,False,False,False
66,shop-adventurer,Adventuring Gear,default,Sack,A sack can hold 1 cubic foot/ 30 pounds of gear.,0.01,0.23,True,True,True
67,shop-adventurer,Adventuring Gear,default,Shovel,A standard shovel used for digging.,2.0,2.27,True,True,True
68,shop-adventurer,Adventuring Gear,default,Signal Whistle,A small whistle used for signaling.,0.05,NULL,False,False,True
69,shop-adventurer,Adventuring Gear,default,Signet Ring,"Each signet ring has a distinctive design carved into it. When you press this ring into warm sealing wax, you leave an identifying mark.",5.0,NULL,False,False,False
70,shop-adventurer,Adventuring Gear,default,Snowshoes,Snowshoes reduce the likelihood of their wearer getting stuck in the deep snow.,2.0,1.81,False,True,True
71,shop-adventurer,Adventuring Gear,default,Spyglass,Objects viewed through a spyglass are magnified to twice their size.,1000.0,0.45,False,False,True
72,shop-adventurer,Adventuring Gear,default,Swimming Gear,"This consists of a snorkel, crude goggles, flippers, and occasionally a skintight suit. It grants advantage on Strength (Athletics) checks made while swimming and cannot be worn with other clothing or armor.",15.0,2.27,True,False,False
73,shop-adventurer,Adventuring Gear,default,"Tent, Two-Person","A simple and portable canvas shelter, a tent sleeps two.",2.0,9.07,True,True,True
