id,shop,category,sub_category,item_name,description,price_base,weight,limited_stock,rural,urban
1,shop-blacksmith,Armor,Light Armor,Studded Leather,"Made from tough but flexible leather, studded leather is reinforced with close-set rivets or spikes.",45.0,5.9,False,False,False
2,shop-blacksmith,Armor,Medium Armor,Chain Shirt,"Made of interlocking metal rings, a chain shirt is worn between layers of clothing or leather. This armor offers modest protection to the wearer's upper body and allows the sound of the rings rubbing against one another to be muffled by outer layers.",50.0,9.07,True,True,True
3,shop-blacksmith,Armor,Medium Armor,Scale Mail,"This armor consists of a coat and leggings (and perhaps a separate skirt) of leather covered with overlapping pieces of metal, much like the scales of a fish. The suit includes gauntlets.",50.0,20.41,False,False,True
4,shop-blacksmith,Armor,Medium Armor,Breastplate,"This armor consists of a fitted metal chest piece worn with supple leather. Although it leaves the legs and arms relatively unprotected, this armor provides good protection for the wearer's vital organs while leaving the wearer relatively unencumbered.",400.0,9.07,True,True,True
5,shop-blacksmith,Armor,Medium Armor,Half Plate,Half plate consists of shaped metal plates that cover most of the wearer's body. It does not include leg protection beyond simple greaves that are attached with leather straps.,750.0,18.14,False,False,False
6,shop-blacksmith,Armor,Heavy Armor,Ring Mail,"This armor is leather armor with heavy rings sewn into it. The rings help reinforce the armor against blows from swords and axes. Ring mail is inferior to chain mail, and it's usually worn only by those who can't afford better armor.",30.0,18.14,False,True,True
7,shop-blacksmith,Armor,Heavy Armor,Chain Mail,"Made of interlocking metal rings, chain mail includes a layer of quilted fabric worn underneath the mail to prevent chafing and to cushion the impact of blows. The suit includes gauntlets.",75.0,24.95,True,True,True
8,shop-blacksmith,Armor,Heavy Armor,Splint,This armor is made of narrow vertical strips of metal riveted to a backing of leather that is worn over cloth padding. Flexible chain mail protects the joints.,200.0,27.22,False,False,True
9,shop-blacksmith,Armor,Heavy Armor,Plate,"Plate consists of shaped, interlocking metal plates to cover the entire body. A suit of plate includes gauntlets, heavy leather boots, a visored helmet, and thick layers of padding underneath the armor. Buckles and straps distribute the weight over the body.",1500.0,29.48,False,False,False
10,shop-blacksmith,Armor,Shield,Shield,A shield is made from wood or metal and is carried in one hand. Wielding a shield increases your Armor Class by 2. You can benefit from only one shield at a time.,10.0,2.72,True,True,True
11,shop-blacksmith,Weapons,Simple Melee Weapons,Dagger,A knife with a very sharp point and usually two sharp edges. Proficiency with a dagger allows you to add your proficiency bonus to the attack roll for any attack you make with it.,2.0,0.45,True,True,True
12,shop-blacksmith,Weapons,Simple Melee Weapons,Handaxe,"A wood composite handle with a sharp edged head (called a 'bit'), typically made of iron or steel. Proficiency with a handaxe allows you to add your proficiency bonus to the attack roll for any attack you make with it.",5.0,0.91,True,True,True
13,shop-blacksmith,Weapons,Simple Melee Weapons,Javelin,A javelin is a light spear designed primarily to be thrown. Proficiency with a javelin allows you to add your proficiency bonus to the attack roll for any attack you make with it.,0.5,0.91,False,False,True
14,shop-blacksmith,Weapons,Simple Melee Weapons,Light Hammer,"The light hammer is a small sledge hammer, usually with a haft made of wood about one and a half feet long. Some have a pick on the back of the hammer head. Proficiency with a light hammer allows you to add your proficiency bonus to the attack roll for any attack you make with it.",2.0,0.91,False,False,True
15,shop-blacksmith,Weapons,Simple Melee Weapons,Mace,A weapon with a heavy head on a solid shaft used to bludgeon opponents. Proficiency with a mace allows you to add your proficiency bonus to the attack roll for any attack you make with it.,5.0,1.81,False,True,True
16,shop-blacksmith,Weapons,Simple Melee Weapons,Sickle,"A short-handled tool with a semicircular blade, typically used by farmers for cutting grain, lopping, or trimming. Proficiency with a sickle allows you to add your proficiency bonus to the attack roll for any attack you make with it.",1.0,0.91,False,False,True
17,shop-blacksmith,Weapons,Simple Melee Weapons,Spear,"A pole weapon consisting of a shaft, usually of wood, with a pointed head. Proficiency with a spear allows you to add your proficiency bonus to the attack roll for any attack you make with it.",1.0,1.36,True,True,True
18,shop-blacksmith,Weapons,Martial Melee Weapons,Battleaxe,"An axe head mounted on a wooden or metal haft about 2.5​ to ​3 feet long. Some battleaxes were known to have a short spike or blade on the back of their axeheads, as well as a spike on the end of their shafts. Some came with belt hooks on the side of their heads. Proficiency with a battleaxe allows you to add your proficiency bonus to the attack roll for any attack you make with it.",10.0,1.81,True,True,True
19,shop-blacksmith,Weapons,Martial Melee Weapons,Flail,A flail consists of a 2 feet long haft connected to a chain ending with a heavy metal ball or rod. This ball or rod was often spiked. Proficiency with a flail allows you to add your proficiency bonus to the attack roll for any attack you make with it.,10.0,0.91,False,False,True
20,shop-blacksmith,Weapons,Martial Melee Weapons,Glaive,"A(or glave) is a European polearm, consisting of a single-edged blade (about 18 inches long) on the end of a 7-foot pole.have a small hook on the reverse side of the blade, to better catch riders. Proficiency with a glaive allows you to add your proficiency bonus to the attack roll for any attack you make with it.",20.0,2.72,False,False,True
21,shop-blacksmith,Weapons,Martial Melee Weapons,Greataxe,"A large, heavy battleaxe with a double-bladed head. The shaft was usually constructed of stout wood. Proficiency with a greataxe allows you to add your proficiency bonus to the attack roll for any attack you make with it.",30.0,3.18,False,True,True
22,shop-blacksmith,Weapons,Martial Melee Weapons,Greatsword,"A large sword that has a double-edged blade and requires two hands to wield, with an elongated hilt to accommodate the extra grip. Proficiency with a greatsword allows you to add your proficiency bonus to the attack roll for any attack you make with it.",50.0,2.72,True,True,True
23,shop-blacksmith,Weapons,Martial Melee Weapons,Halberd,A halberd consists of an ax blade balanced by a pick with an elongated pike head at the end of the staff. It is usually about 5 to 6 feet long. Proficiency with a halberd allows you to add your proficiency bonus to the attack roll for any attack you make with it.,20.0,2.72,False,False,True
24,shop-blacksmith,Weapons,Martial Melee Weapons,Lance,"A spear-like weapon used by cavalry for mounted combat. It usually consists of a long wooden shaft with a sharp metal point. Proficiency with a lance allows you to add your proficiency bonus to the attack roll for any attack you make with it. You have disadvantage when you use a lance to attack a target within 5 feet of you. Also, a lance requires two hands to wield when you aren't mounted.",10.0,2.72,False,False,False
25,shop-blacksmith,Weapons,Martial Melee Weapons,Longsword,"A type of European sword characterized as having a cruciform hilt with a grip for two-handed use (6 to 12 inches). It has a straight, double-edged blade about 3 to 4 feet long. Proficiency with a longsword allows you to add your proficiency bonus to the attack roll for any attack you make with it.",15.0,1.36,True,True,True
