id,shop,category,sub_category,item_name,description,price_base,weight,limited_stock,rural,urban
1,shop-bowyer,Weapons,Simple Ranged Weapons,Light Crossbow,A ranged weapon that uses an elastic launching device consisting of a bow-like assembly mounted horizontally on a main frame. Proficiency with a light crossbow allows you to add your proficiency bonus to the attack roll for any attack you make with it.,25.0,2.27,False,True,True
2,shop-bowyer,Weapons,Simple Ranged Weapons,Shortbow,"The shortbow is a flexible shaft of wood (or horn or bone) about 3 to 4 feet long with the ends connected by strong cord or a gut string that is a little shorter than the shaft, causing the wood to bend and keep the string under tension. Proficiency with a shortbow allows you to add your proficiency bonus to the attack roll for any attack you make with it.",25.0,0.91,True,True,True
3,shop-bowyer,Weapons,Martial Ranged Weapons,Hand Crossbow,"A small, light ranged weapon, typically mounted on the back of one's forearm, that uses an elastic launching device consisting of a bow-like assembly mounted horizontally on a main frame. Proficiency with a hand crossbow allows you to add your proficiency bonus to the attack roll for any attack you make with it.",75.0,1.36,False,False,True
4,shop-bowyer,Weapons,Martial Ranged Weapons,Heavy Crossbow,A heavy ranged weapon using an elastic launching device consisting of a bow-like assembly mounted horizontally on a main frame. Proficiency with a heavy crossbow allows you to add your proficiency bonus to the attack roll for any attack you make with it.,50.0,8.16,False,True,True
5,shop-bowyer,Weapons,Martial Ranged Weapons,Longbow,A tall bow – roughly equal to the height of the user – allowing the archer a fairly long draw. Its limbs are relatively narrow and are circular or D-shaped in cross section. Proficiency with a longbow allows you to add your proficiency bonus to the attack roll for any attack you make with it.,50.0,0.91,True,True,True
6,shop-bowyer,Adventuring Gear,Ammunition,Arrows,"20 arrows. Arrows are used with a weapon that has the ammunition property to make a ranged attack. Each time you attack with the weapon, you expend one piece of ammunition. Drawing the ammunition from a quiver, case, or other container is part of the attack (you need a free hand to load a one-handed weapon). At the end of the battle, you can recover half your expended ammunition by taking a minute to search the battlefield.",1.0,0.45,False,True,True
7,shop-bowyer,Adventuring Gear,Ammunition,Crossbow Bolts,"20 crossbow bolts. Crossbow bolts are used with a weapon that has the ammunition property to make a ranged attack. Each time you attack with the weapon, you expend one piece of ammunition. Drawing the ammunition from a quiver, case, or other container is part of the attack (you need a free hand to load a one-handed weapon). At the end of the battle, you can recover half your expended ammunition by taking a minute to search the battlefield.",1.0,0.68,False,True,True
8,shop-bowyer,Adventuring Gear,default,Bowstring (5),NULL,2.0,NULL,False,True,True
9,shop-bowyer,Adventuring Gear,default,"Case, Crossbow Bolt",This wooden case can hold up to twenty crossbow bolts.,1.0,0.45,False,True,True
10,shop-bowyer,Adventuring Gear,default,Quiver,A quiver can hold up to 20 arrows.,1.0,0.45,True,True,True
