id,shop,category,sub_category,item_name,description,price_base,weight,limited_stock,rural,urban
1,shop-general,Adventuring Gear,default,Abacus,A standard tool used to make calculations.,2.0,0.91,False,False,True
2,shop-general,Adventuring Gear,default,Barrel,"A barrel can hold 40 gallons of liquid, or 4 cubic feet of solid material.",2.0,31.75,False,True,True
3,shop-general,Adventuring Gear,default,Blanket,"A thick, quilted, blanket made to keep you warm in cold weather.",0.5,1.36,True,True,True
4,shop-general,Adventuring Gear,default,"Bottle, glass",A bottle can hold 1 1/2 pints of liquid.,2.0,0.91,False,True,True
5,shop-general,Adventuring Gear,default,Bucket,"A bucket can hold 3 gallons of liquid, or 1/2 cubic foot of solid material.",0.05,0.91,False,True,True
6,shop-general,Adventuring Gear,default,Candle,"For 1 hour, a candle sheds bright light in a 5-foot radius and dim light for an additional 5 feet.",0.01,NULL,True,True,True
7,shop-general,Adventuring Gear,default,Chest,A chest can hold 12 cubic feet/ 300 pounds of gear.,5.0,11.34,False,False,True
8,shop-general,Adventuring Gear,default,"Clothes, Common","This set of clothes could consist of a loose shirt and baggy breeches, or a loose shirt and skirt or overdress. Cloth wrappings are used for shoes.",0.5,1.36,False,True,True
9,shop-general,Adventuring Gear,default,"Clothes, Cold Weather","This outfit consists of a heavy fur coat or cloak over layers of wool clothing, as well as a fur-lined hat or hood, goggles, and fur-lined leather boots and gloves.",10.0,2.27,False,True,True
10,shop-general,Adventuring Gear,default,"Clothes, Fine","This set of clothes is designed specifically to be expensive and to show it, including fancy, tailored clothes in whatever fashion happens to be the current style in the courts of the nobles. Precious metals and gems could be worked into the clothing.",15.0,2.72,False,False,False
11,shop-general,Adventuring Gear,default,Crampons (2),A crampon is a metal plate with spikes that is strapped to the sole of a boot. A creature wearing crampons can't fall prone while moving across slippery ice.,2.0,0.11,False,False,False
12,shop-general,Adventuring Gear,default,Flask or Tankard,A flask or tankard can hold 1 pint of liquid.,0.02,0.45,True,True,True
13,shop-general,Adventuring Gear,default,Hammer,This one-handed hammer with an iron head is useful for pounding pitons into a wall.,1.0,1.36,True,True,True
14,shop-general,Adventuring Gear,default,Ink (1 ounce bottle),Ink is typically used with an ink pen to write.,10.0,NULL,True,True,True
15,shop-general,Adventuring Gear,default,Ink Pen,An ink pen is a wooden stick with a special tip on the end. It can also be a feathered quill with a sharpened tip. The tip draws ink in when dipped in a vial and leaves an ink trail when drawn across a surface.,0.02,NULL,False,False,True
16,shop-general,Adventuring Gear,default,Jug or Pitcher,A jug or pitcher can hold 1 gallon of liquid.,0.02,1.81,True,True,True
17,shop-general,Adventuring Gear,default,Ladder (10 foot),"This item is a straight, simple wooden ladder.",0.1,11.34,False,True,True
