id,shop,category,sub_category,item_name,description,price_base,weight,limited_stock,rural,urban
1,shop-inntavern,Menu - Breakfast Options,Commoner,Meat Stick,NULL,0.03,NULL,False,True,True
2,shop-inntavern,Menu - Breakfast Options,Commoner,Roasted Locusts,NULL,0.03,NULL,False,True,True
3,shop-inntavern,Menu - Breakfast Options,Commoner,Cheese Omelet,NULL,0.04,NULL,False,True,False
4,shop-inntavern,Menu - Breakfast Options,Commoner,Ham & Cheese on Rye,NULL,0.05,NULL,False,True,True
5,shop-inntavern,Menu - Breakfast Options,Merchant,Bacon & Egg Sandwich,NULL,0.3,NULL,True,True,True
6,shop-inntavern,Menu - Breakfast Options,Merchant,"Omelet ""Your Way""",NULL,0.3,NULL,False,True,True
7,shop-inntavern,Menu - Breakfast Options,Merchant,Bloodhawk Eggs,NULL,0.4,NULL,False,True,True
8,shop-inntavern,Menu - Breakfast Options,Merchant,Bacon Stuffed Bread,NULL,0.5,NULL,True,True,True
9,shop-inntavern,Menu - Breakfast Options,Noble,Frittata & Herbs,NULL,1.0,NULL,True,False,True
10,shop-inntavern,Menu - Breakfast Options,Noble,Bacon & Owlbear Eggs,NULL,2.0,NULL,True,False,True
11,shop-inntavern,Menu - Breakfast Options,Noble,Boar Ham Steak & Eggs,NULL,2.0,NULL,True,False,True
12,shop-inntavern,Menu - Breakfast Options,Noble,Truffle Omelet,NULL,3.0,NULL,True,False,True
13,shop-inntavern,Menu - Lunch Options,Commoner,Stockpot Stew/ Soup,NULL,0.04,NULL,True,False,False
14,shop-inntavern,Menu - Lunch Options,Commoner,"""Adventurer's"" Steak",NULL,0.04,NULL,False,True,True
15,shop-inntavern,Menu - Lunch Options,Commoner,Minced Pork,NULL,0.05,NULL,False,True,True
16,shop-inntavern,Menu - Lunch Options,Commoner,Roast Goat & Cheese,NULL,0.06,NULL,True,True,True
17,shop-inntavern,Menu - Lunch Options,Merchant,Roast Lamb & Cheese,NULL,0.4,NULL,True,True,True
18,shop-inntavern,Menu - Lunch Options,Merchant,Boar Tenderloin,NULL,0.5,NULL,False,True,True
19,shop-inntavern,Menu - Lunch Options,Merchant,Baked Goose Breast,NULL,0.5,NULL,True,True,True
20,shop-inntavern,Menu - Lunch Options,Merchant,Grilled Salmon,NULL,0.6,NULL,True,True,True
21,shop-inntavern,Menu - Lunch Options,Noble,Rack of Lamb,NULL,2.0,NULL,True,False,True
22,shop-inntavern,Menu - Lunch Options,Noble,Shellfish Platter,NULL,3.0,NULL,True,False,True
23,shop-inntavern,Menu - Lunch Options,Noble,Dragon Turtle Soup,NULL,4.0,NULL,True,False,True
24,shop-inntavern,Menu - Lunch Options,Noble,Roc Meat Tar Tar,NULL,5.0,NULL,True,False,True
