id,shop,category,sub_category,item_name,description,price_base,weight,limited_stock,rural,urban
1,shop-jeweler,Adventuring Gear,default,"Amulet/Necklace, Mundane",NULL,0.5,NULL,True,True,True
2,shop-jeweler,Adventuring Gear,default,"Amulet/Necklace, Exquisite",NULL,5.0,NULL,True,True,True
3,shop-jeweler,Adventuring Gear,Arcane Focus,Crystal,"An arcane focus is a special item designed to channel the power of arcane spells. A sorcerer, warlock, or wizard can use such an item as a spellcasting focus.",10.0,0.45,False,False,True
4,shop-jeweler,Adventuring Gear,Arcane Focus,Orb,"An arcane focus is a special item designed to channel the power of arcane spells. A sorcerer, warlock, or wizard can use such an item as a spellcasting focus.",20.0,1.36,False,False,False
5,shop-jeweler,Adventuring Gear,default,Jewelry (+ Gem Value),NULL,50.0,NULL,True,True,True
6,shop-jeweler,Adventuring Gear,default,"Ring, Mundane",NULL,0.3,NULL,True,True,True
7,shop-jeweler,Adventuring Gear,default,"Ring, Exquisite",NULL,3.0,NULL,True,True,True
8,shop-jeweler,Adventuring Gear,default,Signet Ring,"Each signet ring has a distinctive design carved into it. When you press this ring into warm sealing wax, you leave an identifying mark.",5.0,NULL,False,True,True
9,shop-jeweler,Tools and Kits,Artisan's Tools,Jeweler's Tools,Training with jeweler's tools includes the basic techniques needed to beautify gems. It also gives you expertise in identifying precious stones.,25.0,0.91,False,True,True
10,shop-jeweler,Services,default,Gemstone Appraisel (3 gems),NULL,5.0,NULL,True,True,True
11,shop-jeweler,Services,default,Resizing Jewelry,NULL,10.0,NULL,False,True,True
12,shop-jeweler,Services,default,Set Gem (<100 gp value),NULL,45.0,NULL,False,True,True
13,shop-jeweler,Services,default,Set Gem (100-1K gp value),NULL,75.0,NULL,False,True,True
14,shop-jeweler,Services,default,Set Gem (>1K gp value),NULL,150.0,NULL,False,True,True
15,shop-jeweler,Services,default,Stonecutting,"Stone cutting can refer to cutting and grinding rough, raw stones into workable segments. It is also the act of cutting facets on stones (also known as faceting).",Error on the price,NULL,False,False,True
16,shop-jeweler,Miscellaneous,default,Gemstone (10 gp),"Common gems worth 10 gp include azurite, banded agates, blue quartz, eye agates, hematite, lapis lazuli, malachite, moss agates, obsidian, rhodochrosite, tiger eye and turquoise.",10.0,NULL,True,True,True
17,shop-jeweler,Miscellaneous,default,Gemstone (50 gp),"Common gems worth 50 gp include bloodstones, carnelian, chalcedony, chrysoprase, citrines, jaspers, moonstones, onyx, quartz, sardonyx, star rose quartz and zircons.",50.0,NULL,True,True,True
