id,shop,category,sub_category,item_name,description,price_base,weight,limited_stock,rural,urban
1,shop-musicgames,Tools and Kits,Artisan's Tools,Calligrapher's Supplies,"Calligraphy treats writing as a delicate, beautiful art. Calligraphers produce text that is pleasing to the eye, using a style that is difficult to forge. Their supplies also give them some ability to examine scripts and determine if they are legitimate, since a calligrapher's training involves long hours of studying writing and attempting to replicate its style and design.",10.0,2.27,False,False,True
2,shop-musicgames,Tools and Kits,Artisan's Tools,Glassblower's Tools,"Someone proficient with glassblower's tools has not only the ability to shape glass but also specialized knowledge of the methods used to produce glass objects.The tools include a blowpipe, a small marver, blocks, and tweezers. You need a source of heat to work glass.: Your knowledge of glassmaking techniques aids you when you examine glass objects, such as potion bottles or glass items found in a treasure hoard. For instance, you can study how a glass potion bottle has been changed by its contents to help determine a potion's effects. (A potion might leave behind a residue, deform the glass, or stain it.): When you study an area, your knowledge can aid you if the clues include broken glass or glass objects.: With 1 minute of study, you can identify the weak points in a glass object. Any damage dealt to the object by striking a weak spot is doubled.DC 10 - Identify source of glassDC 15 - Produce a glass item (with a viable heat source)DC 20 - Determine what a glass object once held",30.0,2.27,False,False,False
3,shop-musicgames,Tools and Kits,Artisan's Tools,Painter's Supplies,"Proficiency with painter's supplies represents your ability to paint and draw. You also acquire an understanding of art history, which can aid you in examining works of art.Painter's supplies include an easel, canvas, paints, brushes, charcoal sticks, and a palette.: Your expertise aids you in uncovering lore of any sort that is attached to a work of art, such as the magical properties of a painting or the origins of a strange mural found in a dungeon.: When you inspect a painting or a similar work of visual art, your knowledge of the practices behind creating it can grant you additional insight.: As part of a short or long rest, you can produce a simple work of art. Although your work might lack precision, you can capture an image or a scene, or make a quick copy of a piece of art you saw.DC 10 - Paint an accurate portraitDC 20 - Create a painting with a hidden message",10.0,2.27,True,True,True
4,shop-musicgames,Tools and Kits,Artisan's Tools,Potter's Tools,"Potter's tools are used to create a variety of ceramic objects, most typically pots and similar vessels.Potter's tools include potter's needles, ribs, scrapers, a knife, and calipers.: Your expertise aids you in identifying ceramic objects, including when they were created and their likely place or culture of origin.: You gain additional insight when inspecting ceramics, uncovering clues others would overlook by spotting minor irregularities.: By examining pottery shards, you can determine an object's original, intact form and its likely purpose.",10.0,1.36,False,False,True
5,shop-musicgames,Tools and Kits,Artisan's Tools,Weaver's Tools,"Weaver's tools allow you to create cloth and tailor it into articles of clothing.Weaver's tools include thread, needles, and scraps of cloth. You know how to work a loom, but such equipment is too large to transport.: Your expertise lends you additional insight when examining cloth objects, including cloaks and robes.: Using your knowledge of the process of creating cloth objects, you can spot clues and make deductions that others would overlook when you examine tapestries, upholstery, clothing, and other woven items.: As part of a short rest, you can repair a single damaged cloth object.: Assuming you have access to sufficient cloth and thread, you can create an outfit for a creature as part of a long rest.DC 10 - Repurpose clothDC 10 - Mend a hole in a piece of clothDC 15 - Tailor an outfit",1.0,2.27,False,True,True
6,shop-musicgames,Tools and Kits,Artisan's Tools,Woodcarver's Tools,"Woodcarver's tools allow you to craft intricate objects from wood, such as wooden tokens or arrows.Woodcarver's tools consist of a knife, a gouge, and a small saw.: Your expertise lends you additional insight when you examine wooden objects, such as figurines or arrows.: Your knowledge of wooden objects gives you some added insight when you examine trees.: As part of a short rest, you can repair a single damaged wooden object.: As part of a short rest, you can craft up to five arrows. As part of a long rest, you can craft up to twenty. You must have enough wood on hand to produce them.DC 10 - Craft a small wooden figurineDC 15 - Carve an intricate pattern in wood",1.0,2.27,False,True,True
7,shop-musicgames,Tools and Kits,default,Disguise Kit,"The perfect tool for anyone who wants to engage in trickery, a disguise kit enables its owner to adopt a false identity.A disguise kit includes cosmetics, hair dye, small props, and a few pieces of clothing.: In certain cases, a disguise can improve your ability to weave convincing lies.: The right disguise can make you look more fearsome, whether you want to scare someone away by posing as a plague victim or intimidate a gang of thugs by taking the appearance of a bully.: A cunning disguise can enhance an audience's enjoyment of a performance, provided the disguise is properly designed to evoke the desired reaction.: Folk tend to trust a person in uniform. If you disguise yourself as an authority figure, your efforts to persuade others are often more effective.: As part of a long rest, you can create a disguise. It takes you 1 minute to don such a disguise once you have created it. You can carry only one such disguise on you at a time without drawing undue attention, unless you have a bag of holding or a similar method to keep them hidden. Each disguise weighs 1 pound.At other times, it takes 10 minutes to craft a disguise that involves moderate changes to your appearance, and 30 minutes for one that requires more extensive changes.DC 10 - Cover injuries or distinguishing marksDC 15 - Spot a disguise being used by someone elseDC 20 - Copy a humanoid's appearance",25.0,1.36,False,False,False
8,shop-musicgames,Tools and Kits,Gaming Set,Dice Set,The dice set consists of several evenly weighted (fair) dice that can be used to play a variety of dice games.,0.1,NULL,True,True,True
9,shop-musicgames,Tools and Kits,Gaming Set,Dragonchess Set,"A 3-D chess game that is played on 3 8x12 boards stacked above each other. The top board represents the air and features pieces like the Griffon and the Dragon. The middle board represents the land and has pieces like the Oliphant, the Thief, and (of course) the King. The bottom board represents the underworld and contains pieces like the Dwarf and the Elemental.: Your mastery of a game includes knowledge of its history, as well as of important events it was connected to or prominent historical figures involved with it.: Playing games with someone is a good way to gain understanding of their personality, granting you a better ability to discern their lies from their truths and read their mood.: Sleight of Hand is a useful skill for cheating at a game, as it allows you to swap pieces, palm cards, or alter a die roll.Alternatively, engrossing a target in a game by manipulating the components with dexterous movements is a great distraction for a pickpocketing attempt.DC 15 - Catch a player cheatingDC 15 - Gain insight into an opponent's personality",1.0,0.23,False,False,False
10,shop-musicgames,Tools and Kits,Gaming Set,Playing Card Set,"This gaming set includes a complete set of playing cards.: Your mastery of a game includes knowledge of its history, as well as of important events it was connected to or prominent historical figures involved with it.: Playing games with someone is a good way to gain understanding of their personality, granting you a better ability to discern their lies from their truths and read their mood.: Sleight of Hand is a useful skill for cheating at a game, as it allows you to swap pieces, palm cards, or alter a die roll.Alternatively, engrossing a target in a game by manipulating the components with dexterous movements is a great distraction for a pickpocketing attempt.DC 15 - Catch a player cheatingDC 15 - Gain insight into an opponent's personality",0.5,NULL,False,True,True
