id,shop,category,sub_category,item_name,description,price_base,weight,limited_stock,rural,urban
1,shop-potion,Adventuring Gear,default,Acid (vial),"As an action, you can splash the contents of this vial onto a creature within 5 feet of you or throw the vial up to 20 feet, shattering it on impact. In either case, make a ranged attack against a creature or object, treating the acid as an improvised weapon. On a hit, the target takes 2d6 acid damage.",25.0,0.45,False,True,True
2,shop-potion,Adventuring Gear,default,Alchemist's Fire (flask),"This sticky, adhesive fluid ignites when exposed to air. As an action, you can throw this flask up to 20 feet, shattering it on impact. Make a ranged attack against a creature or object, treating the alchemist's fire as an improvised weapon. On a hit, the target takes 1d4 fire damage at the start of each of its turns. A creature can end this damage by using its action to make a DC 10 Dexterity check to extinguish the flames.",50.0,0.45,False,False,True
3,shop-potion,Adventuring Gear,default,Antitoxin (vial),A creature that drinks this vial of liquid gains advantage on saving throws against poison for 1 hour. It confers no benefit to undead or constructs.,50.0,NULL,True,True,True
4,shop-potion,Adventuring Gear,default,"Bottle, glass",A bottle can hold 1 1/2 pints of liquid.,2.0,0.91,False,True,True
5,shop-potion,Adventuring Gear,default,Component Pouch,"A component pouch is a small, watertight leather belt pouch that has compartments to hold all the material components and other special items you need to cast your spells, except for those components that have a specific cost (as indicated in a spell's description).",25.0,0.91,False,True,True
6,shop-potion,Adventuring Gear,default,Flask or Tankard,A flask or tankard can hold 1 pint of liquid.,0.02,0.45,False,True,True
7,shop-potion,Adventuring Gear,default,Healer's Kit,"This kit is a leather pouch containing bandages, salves, and splints. The kit has ten uses. As an action, you can expend one use of the kit to stabilize a creature that has 0 hit points, without needing to make a Wisdom (Medicine) check.",5.0,1.36,False,False,True
8,shop-potion,Adventuring Gear,default,Ink (1 ounce bottle),Ink is typically used with an ink pen to write.,10.0,NULL,False,False,False
9,shop-potion,Adventuring Gear,default,Jug or Pitcher,A jug or pitcher can hold 1 gallon of liquid.,0.02,1.81,False,True,False
10,shop-potion,Adventuring Gear,default,Oil (flask),"Oil usually comes in a clay flask that holds 1 pint. As an action, you can splash the oil in this flask onto a creature within 5 feet of you or throw it up to 20 feet, shattering it on impact. Make a ranged attack against a target creature or object, treating the oil as an improvised weapon. On a hit, the target is covered in oil. If the target takes any fire damage before the oil dries (after 1 minute), the target takes an additional 5 fire damage from the burning oil. You can also pour a flask of oil on the ground to cover a 5-foot-square area, provided that the surface is level. If lit, the oil burns for 2 rounds and deals 5 fire damage to any creature that enters the area or ends its turn in the area. A creature can take this damage only once per turn.",0.1,0.45,False,True,True
11,shop-potion,Adventuring Gear,default,Perfume (vial),A fragrant commodity typically used by the wealthy.,5.0,NULL,False,False,True
12,shop-potion,Adventuring Gear,default,Potion of Healing,A character who drinks the magical red fluid in this vial regains 2d4 + 2 hit points. Drinking or administering a potion takes an action.,50.0,0.23,True,True,True
13,shop-potion,Adventuring Gear,default,Vial,A vial can hold 4 ounces of liquid.,1.0,NULL,True,False,True
14,shop-potion,Poison,default,"Poison, Basic (vial)","You can use the poison in this vial to coat one slashing or piercing weapon or up to three pieces of ammunition. Applying the poison takes an action. A creature hit by the poisoned weapon or ammunition must make a DC 10 Constitution saving throw or take 1d4 poison damage. Once applied, the poison retains potency for 1 minute before drying.",100.0,NULL,True,True,True
15,shop-potion,Tools and Kits,Artisan's Tools,Alchemist's Supplies,"Alchemist's supplies enable a character to produce useful concoctions, such as acid or alchemist's fire.  Crafting alchemical items can be done by using materials worth half the price of purchasing the item.",50.0,3.63,True,False,False
16,shop-potion,Tools and Kits,Artisan's Tools,Brewer's Supplies,"Brewing is the art of producing beer and other alcoholic beverages. These supplies also allow for the purification and treatment of water, making it safe to drink. Crafting beer takes weeks of fermentation, but only a few hours of work.Brewer's supplies include a large glass jug , a quantity of hops, a siphon, and several feet of tubing.: Proficiency with brewer's supplies gives you additional insight on Intelligence (History) checks concerning events that involve alcohol as a significant element.: This tool proficiency grants additional insight when you treat anyone suffering from alcohol poisoning or when you can use alcohol to dull pain.: A stiff drink can help soften the hardest heart. Your proficiency with brewer's supplies can help you ply someone with drink, giving them just enough alcohol to mellow their mood.: Your knowledge of brewing enables you to purify water that would otherwise be undrinkable. As part of a long rest, you can purify up to 6 gallons of water, or 1 gallon as part of a short rest.DC 10  -  Detect poison/impurities in a drinkDC 15  -  Identify alcoholDC 20  -  Ignore the effects of alcohol",20.0,4.08,False,False,True
17,shop-potion,Tools and Kits,Artisan's Tools,Cook's Utensils,"Adventuring is a hard life. With a cook along on the journey, your meals will be much better than the typical mix of hardtack and dried fruit.Cook's utensils include a metal pot, knives, forks, a stirring spoon, and a ladle.: Your knowledge of cooking techniques allows you to assess the social patterns involved in a culture's eating habits.: When administering treatment, you can transform medicine that is bitter or sour into a pleasing concoction.: When foraging for food, you can make do with ingredients you scavenge that others would be unable to transform into nourishing meals.: As part of a short rest, you can prepare a tasty meal that helps your companions regain their strength. You and up to five creatures of your choice regain 1 extra hit point per Hit Die spent during a short rest, provided you have access to your cook's utensils and sufficient food.DC 10 - Create a typical mealDC 10 - Duplicate a mealDC 15 - Spot poison or impurities in foodDC 15 - Create a gourmet meal",1.0,3.63,True,True,True
