id,shop,category,sub_category,item_name,description,price_base,weight,limited_stock,rural,urban
1,shop-shady,Adventuring Gear,default,Acid (vial),"As an action, you can splash the contents of this vial onto a creature within 5 feet of you or throw the vial up to 20 feet, shattering it on impact. In either case, make a ranged attack against a creature or object, treating the acid as an improvised weapon. On a hit, the target takes 2d6 acid damage.",25.0,0.45,True,True,True
2,shop-shady,Adventuring Gear,default,"Aniseed, vial","Aniseed is a simple plant-derived natural flavoring that smells and tastes like pungent licorice. It is often used in liqueurs and cooking. A small quantity of aniseed extract can be used to ruin any effort to have dogs track a scent. Dropping a vial of aniseed will ensure that a dog's sense of smell is utterly ruined for 1d4+1 hours if they reach the spot where the substance was dropped. A dog can make a Constitution save to avoid the aniseed to some extent, but on a success the sense of smell is still lost for 1d4+1 turns. The effect of aniseed on any other kind of trained tracking animal is up to the DM, but aniseed should have a detrimental effect on almost anything's sense of smell.",0.2,0.45,True,True,True
3,shop-shady,Adventuring Gear,default,Antitoxin (vial),A creature that drinks this vial of liquid gains advantage on saving throws against poison for 1 hour. It confers no benefit to undead or constructs.,50.0,NULL,True,True,True
4,shop-shady,Adventuring Gear,default,Black Suit,"This very tight-fitting garment is made of black silk. It is used by rogues and infiltrators when sneaking around at night. Wearing the suit allows you to try to hide when you are lightly obscured from the creature from which you are hiding. However, the bodysuit provides no benefit if you wear other clothing or armor, other than belts, pouches, scabbards, or bandoleers, on top of it.",30.0,0.45,True,False,True
5,shop-shady,Adventuring Gear,default,Blinding Powder,"A highly abrasive, powdered substance that is extremely irritating to the eyes. Blinding powder can be made from many ingredients such as powdered glass, dust soaked in onion juice, or strong ammonium salts. Blinding powder is thrown into the eyes of the victim. To do so, the player must make a ""called shot"" attack roll (d20 + Dexterity modifier, at Disadvantage [Called Shot, Eyes]).",0.1,0.45,True,True,True
6,shop-shady,Adventuring Gear,default,Caltrops (bag of 20),"As an action, you can spread a bag of caltrops to cover a square area that is 5 feet on a side. Any creature that enters the area must succeed on a DC 15 Dexterity saving throw or stop moving this turn and take 1 piercing damage. Taking this damage reduces the creature's walking speed by 10 feet until the creature regains at least 1 hit point. A creature moving through the area at half speed doesn't need to make the save.",1.0,0.91,False,False,True
7,shop-shady,Adventuring Gear,default,"Clothes, Costume","This set of clothes is fashioned after a particular costume, typically meant for entertaining.",5.0,1.81,False,False,False
8,shop-shady,Adventuring Gear,default,Dog Pepper,"Similar to aniseed, but less potent, dog pepper can be used in a pursuit to throw dogs off the scent. When a dog comes within 10 feet of a pouch of dog pepper, the dog will need to make a Constitution save (DC 12) to avoid the effects absolutely. If the save is failed, though, the dog is unable to continue pursuit for 1d4+1 turns.",0.1,0.45,True,False,True
9,shop-shady,Adventuring Gear,default,Finger Blades,"These are very short razor-sharp blades that fit over the fingers. They are used to cut through purse strings or garments and grant advantage on Dexterity (Sleight of Hand) checks to do so. They are too short to be used as effective weapons, causing only scratches at most.",20.0,NULL,True,False,True
10,shop-shady,Adventuring Gear,default,Glass-cutter,"A small diamond set into a suitable handle, or even set into a ring (+5 gp). The diamond must be cut to a fine point, and if used in a ring, a hinged top should be used to protect the gem. A glass-cutter will cut to glass fairly quickly.",120.0,0.45,True,False,False
11,shop-shady,Adventuring Gear,default,Listening Cone,"This device is made for listening through doors and other solid surfaces. It provides advantage on Wisdom (Perception) checks made to listen through a door or some other relatively thin, solid obstacles. The DM can decide if the cone is ineffective on certain surfaces, such as solid stone.",20.0,0.45,True,False,True
12,shop-shady,Adventuring Gear,default,Manacles,"These metal restraints can bind a Small or Medium creature. Escaping the manacles requires a successful DC 20 Dexterity check. Breaking them requires a successful DC 20 Strength check. Each set of manacles comes with one key. Without the key, a creature proficient with thieves' tools can pick the manacles' lock with a successful DC 15 Dexterity check. Manacles have 15 hit points.",2.0,2.72,False,False,False
