id,shop,category,sub_category,item_name,description,price_base,weight,limited_stock,rural,urban
1,shop-tailor,Adventuring Gear,default,Backpack,"A backpack is a leather pack carried on the back, typically with straps to secure it. A backpack can hold 1 cubic foot/ 30 pounds of gear. You can also strap items, such as a bedroll or a coil of rope, to the outside of a backpack.",2.0,2.27,False,True,True
2,shop-tailor,Adventuring Gear,default,Basket,A basket can hold 2 cubic feet/40 pounds of gear.,0.4,0.91,True,True,True
3,shop-tailor,Adventuring Gear,default,Bedroll,"You never know where you’re going to sleep, and a bedroll helps you get better sleep in a hayloft or on the cold ground. A bedroll consists of bedding and a blanket thin enough to be rolled up and tied. In an emergency, it can double as a stretcher.",1.0,3.18,False,False,True
4,shop-tailor,Adventuring Gear,default,Blanket,"A thick, quilted, blanket made to keep you warm in cold weather.",0.5,1.36,False,True,True
5,shop-tailor,Adventuring Gear,default,"Cloak, Canvas","A unlined travelers cloak made of canvas or light cotton fabric. Common colors are black, brown or grey, but other colors are also available. It covers your entire torso and ends at the knee. This can be worn over clothes and armor.",0.7,1.36,False,True,True
6,shop-tailor,Adventuring Gear,default,"Cloak, Leather","A unlined travelers cloak made of leather. Common colors are black, brown or grey, but other colors are also available. It covers your entire torso and ends at the knee. This can be worn over clothes and armor.",2.0,2.27,True,False,True
7,shop-tailor,Adventuring Gear,default,"Cloak, Leather, Lined","A travelers cloak made of leather and lined with fur. At the DMs discretion, you don't have to make saving throws against the effects of Extreme Cold, as described in the DMG (p. 109). Common colors are black, brown or grey, but other colors are also available. It covers your entire torso and ends at the knee. This can be worn over clothes and armor.",4.0,3.18,True,False,True
8,shop-tailor,Adventuring Gear,default,"Clothes, Common","This set of clothes could consist of a loose shirt and baggy breeches, or a loose shirt and skirt or overdress. Cloth wrappings are used for shoes.",0.5,1.36,True,True,True
9,shop-tailor,Adventuring Gear,default,"Clothes, Cold Weather","This outfit consists of a heavy fur coat or cloak over layers of wool clothing, as well as a fur-lined hat or hood, goggles, and fur-lined leather boots and gloves.",10.0,2.27,False,True,True
10,shop-tailor,Adventuring Gear,default,"Clothes, Costume","This set of clothes is fashioned after a particular costume, typically meant for entertaining.",5.0,1.81,False,False,False
11,shop-tailor,Adventuring Gear,default,"Clothes, Fine","This set of clothes is designed specifically to be expensive and to show it, including fancy, tailored clothes in whatever fashion happens to be the current style in the courts of the nobles. Precious metals and gems could be worked into the clothing.",15.0,2.72,False,False,True
12,shop-tailor,Adventuring Gear,default,"Clothes, Traveler's","This set of clothes could consist of boots, a wool skirt or breeches, a sturdy belt, a shirt (perhaps with a vest or jacket), and an ample cloak with a hood.",2.0,1.81,False,True,True
13,shop-tailor,Adventuring Gear,default,Component Pouch,"A component pouch is a small, watertight leather belt pouch that has compartments to hold all the material components and other special items you need to cast your spells, except for those components that have a specific cost (as indicated in a spell's description).",25.0,0.91,False,False,False
14,shop-tailor,Adventuring Gear,default,Pouch,"A cloth or leather pouch can hold 1/5 cubic foot/ 6 pounds of gear - or up to 20 sling bullets or 50 blowgun needles, among other things. Note: This is different from a- which is a compartmentalized pouch for holding spell components.",0.5,0.45,True,True,True
15,shop-tailor,Adventuring Gear,default,Robes,A standard set of robes.,1.0,1.81,False,True,True
16,shop-tailor,Adventuring Gear,default,Sack,A sack can hold 1 cubic foot/ 30 pounds of gear.,0.01,0.23,True,True,True
17,shop-tailor,Adventuring Gear,default,Snowshoes,Snowshoes reduce the likelihood of their wearer getting stuck in the deep snow.,2.0,1.81,False,False,False
18,shop-tailor,Adventuring Gear,default,"Tent, Two-Person","A simple and portable canvas shelter, a tent sleeps two.",2.0,9.07,False,False,True
19,shop-tailor,Miscellaneous,default,Bone Needle (5),"A standard knitting needle made from bone, about an inch or two in length.",0.03,NULL,False,True,True
20,shop-tailor,Miscellaneous,default,Steel Needle (1),"A standard knitting needle made from steel, about an inch or two in length.",0.1,NULL,False,False,True
21,shop-tailor,Miscellaneous,default,Cotton Thread (30 feet),30 feet of cotton thread used for sewing / knitting.,0.5,0.91,True,False,True
22,shop-tailor,Miscellaneous,default,Leather Cord (15 feet),15 feet of leather cord used by leather workers and tailors.,1.0,1.81,True,True,True
23,shop-tailor,Tools and Kits,Artisan's Tools,Weaver's Tools,Weaver's tools allow you to create cloth and tailor it into articles of clothing.,1.0,2.27,True,True,True
24,shop-tailor,Modification,default,Hollow Boot Heel,A hollow boot heel unscrews from a boot like a jar lid to reveal the hidden space inside.,20.0,NULL,True,False,True
25,shop-tailor,Modification,default,Apparel Inside Pocket,"This hidden space is simply an extra pocket sewn into the inner lining of a coat, tunic, robe, or pair of trousers. An inside pocket generally only holds a few sheets of paper, parchment, or similar items, but some are made to hold a potion or a dagger. A single piece of clothing can have up to two inside pockets.: A character can make a Dexterity (Sleight of Hand) check when attempting to conceal an object  (difficulty is determined by the DM). If the character attempts to conceal the object inside a hidden pocket, the character gets a +2 bonus.",1.0,NULL,True,True,True
26,shop-tailor,Modification,default,Pack/Bag Inside Flap,"Packs, sacks, bags, and satchels can contain cleverly concealed inner flaps or pockets.",1.0,NULL,True,True,True
