id,shop,category,sub_category,item_name,description,price_base,weight,limited_stock,rural,urban
1,shop-temple,Adventuring Gear,default,Alms Box,"A small box for alms, typically found in a priest's pack.",5.0,2.27,False,False,False
2,shop-temple,Adventuring Gear,default,Bell,"A standard bell that rings, typically used for signaling.",1.0,NULL,False,False,True
3,shop-temple,Adventuring Gear,default,Blanket,"A thick, quilted, blanket made to keep you warm in cold weather.",0.5,1.36,False,True,True
4,shop-temple,Adventuring Gear,default,"Book, Scripture",A book of religious teachings relating to a single faith.,25.0,2.27,True,True,True
5,shop-temple,Adventuring Gear,default,Candle,"For 1 hour, a candle sheds bright light in a 5-foot radius and dim light for an additional 5 feet.",0.01,NULL,True,True,True
6,shop-temple,Adventuring Gear,default,"Case, Map or Scroll",This cylindrical leather case can hold up to ten rolled-up sheets of paper or five rolled-up sheets of parchment.,1.0,0.45,False,False,True
7,shop-temple,Adventuring Gear,default,Censer,"A censer is a vessel made for burning incense or perfume in some solid form, typically for religious ceremonies.",5.0,1.36,False,False,False
8,shop-temple,Adventuring Gear,default,Chalk (1 piece),A piece of chalk used for writing and marking on various surfaces.,0.01,NULL,False,True,True
9,shop-temple,Adventuring Gear,default,Flask or Tankard,A flask or tankard can hold 1 pint of liquid.,0.02,0.45,True,True,True
10,shop-temple,Adventuring Gear,default,Healer's Kit,"This kit is a leather pouch containing bandages, salves, and splints. The kit has ten uses. As an action, you can expend one use of the kit to stabilize a creature that has 0 hit points, without needing to make a Wisdom (Medicine) check.",5.0,1.36,False,False,True
11,shop-temple,Adventuring Gear,Holy Symbol,Amulet,"A holy symbol is a representation of a god or pantheon. A cleric or paladin can use a holy symbol as a spellcasting focus. To use the symbol in this way, the caster must hold it in hand, wear it visibly, or bear it on a shield.",5.0,0.45,True,True,True
12,shop-temple,Adventuring Gear,Holy Symbol,Emblem,"A holy symbol is a representation of a god or pantheon. A cleric or paladin can use a holy symbol as a spellcasting focus. To use the symbol in this way, the caster must hold it in hand, wear it visibly, or bear it on a shield.",5.0,NULL,True,True,True
13,shop-temple,Adventuring Gear,Holy Symbol,Reliquary,"A holy symbol is a representation of a god or pantheon. A cleric or paladin can use a holy symbol as a spellcasting focus. To use the symbol in this way, the caster must hold it in hand, wear it visibly, or bear it on a shield.",5.0,0.91,True,True,True
14,shop-temple,Adventuring Gear,default,Holy Water (flask),"As an action, you can splash the contents of this flask onto a creature within 5 feet of you or throw it up to 20 feet, shattering it on impact. In either case, make a ranged attack against a target creature, treating the holy water as an improvised weapon. If the target is a fiend or undead, it takes 2d6 radiant damage.",25.0,0.45,True,True,True
15,shop-temple,Adventuring Gear,default,Incense (1 block),Aromatic material that releases fragrant smoke when burned.,0.01,0.23,False,False,False
16,shop-temple,Adventuring Gear,default,Ink (1 ounce bottle),Ink is typically used with an ink pen to write.,10.0,NULL,False,False,True
17,shop-temple,Adventuring Gear,default,Ink Pen,An ink pen is a wooden stick with a special tip on the end. It can also be a feathered quill with a sharpened tip. The tip draws ink in when dipped in a vial and leaves an ink trail when drawn across a surface.,0.02,NULL,False,False,True
18,shop-temple,Adventuring Gear,default,Lamp,"A lamp casts bright light in a 15-foot radius and dim light for an additional 30 feet. Once lit, it burns for 6 hours on a flask (1 pint) of oil.",0.5,0.45,False,True,True
