id,shop,category,sub_category,item_name,description,price_base,weight,limited_stock,rural,urban
1,shop-vendor,Vendor/Stand,Fruits (one piece),Fruit (in season),NULL,0.01,NULL,False,True,True
2,shop-vendor,Vendor/Stand,Fruits (one piece),Fruit (out of season),NULL,0.05,NULL,True,False,False
3,shop-vendor,Vendor/Stand,Vegetables,Amaranth Leaf/Greens (bushel),NULL,0.05,2.27,True,True,True
4,shop-vendor,Vendor/Stand,Vegetables,Broccoli/Cauliflower (bushel),NULL,0.03,2.27,True,True,True
5,shop-vendor,Vendor/Stand,Vegetables,Cabbage/ Lettuce (bushel),NULL,0.02,2.27,True,True,True
6,shop-vendor,Vendor/Stand,Vegetables,"Fruit ""Vegetable"" (bushel)",NULL,0.05,2.27,True,True,True
7,shop-vendor,Vendor/Stand,Vegetables,Legumes (bushel),NULL,0.04,2.27,True,True,True
8,shop-vendor,Vendor/Stand,Vegetables,Root Vegetable/Tuber (bushel),NULL,0.01,2.27,True,True,True
9,shop-vendor,Vendor/Stand,Grains,Amaranth (small sack),NULL,2.0,0.45,True,False,False
10,shop-vendor,Vendor/Stand,Grains,Barley/Rye (small sack),NULL,0.02,0.45,False,True,True
11,shop-vendor,Vendor/Stand,Grains,Oats (small sack),NULL,0.5,0.45,False,False,True
12,shop-vendor,Vendor/Stand,Grains,Quinoa (small sack),NULL,1.0,0.45,False,False,True
13,shop-vendor,Vendor/Stand,Grains,Rice (small sack),NULL,0.05,0.45,False,False,False
14,shop-vendor,Vendor/Stand,Grains,Wheat (small sack),"Wheat is a grass widely cultivated for its seed, a cereal grain that is a worldwide staple food.",0.1,0.45,True,False,True
15,shop-vendor,Vendor/Stand,Baked Goods (per item),Sweet Roll,NULL,0.1,NULL,True,False,True
16,shop-vendor,Vendor/Stand,Baked Goods (per item),Seedcake,NULL,0.05,NULL,False,True,True
17,shop-vendor,Vendor/Stand,Baked Goods (per item),Cheat/Wheaten Loaf,NULL,0.2,NULL,True,False,True
18,shop-vendor,Vendor/Stand,Baked Goods (per item),Cheese Danish,NULL,0.1,NULL,True,False,True
19,shop-vendor,Vendor/Stand,Baked Goods (per item),Fruit Tart,NULL,0.2,NULL,True,True,True
20,shop-vendor,Vendor/Stand,Baked Goods (per item),Manchet Loaf,NULL,1.0,NULL,True,False,False
21,shop-vendor,Vendor/Stand,Baked Goods (per item),Quince Bread Slice,NULL,0.2,NULL,True,False,False
22,shop-vendor,Vendor/Stand,Baked Goods (per item),Rye Loaf,NULL,0.02,NULL,False,True,True
23,shop-vendor,Vendor/Stand,Meats,Beef/Buffalo/Deer Meat,NULL,0.3,0.45,False,True,True
24,shop-vendor,Vendor/Stand,Meats,Boar/Chicken/Pork Meat,NULL,0.08,0.45,False,True,True
25,shop-vendor,Vendor/Stand,Meats,Dried / Salted Meat,NULL,0.03,0.45,False,True,True
26,shop-vendor,Vendor/Stand,Meats,Eggs (half dozen),NULL,0.03,0.45,False,True,True
27,shop-vendor,Vendor/Stand,Meats,Fish,NULL,0.6,0.45,True,False,True
28,shop-vendor,Vendor/Stand,Meats,Small Game Meat (rabbit),NULL,0.04,0.45,False,True,True
29,shop-vendor,Vendor/Stand,Meats,Insect Meat,NULL,0.02,0.45,False,True,True
30,shop-vendor,Vendor/Stand,Meats,Goat Meat,NULL,0.1,0.45,True,False,True
31,shop-vendor,Vendor/Stand,Meats,Lamb Meat,NULL,1.0,0.45,True,False,False
32,shop-vendor,Vendor/Stand,Meats,Shellfish,NULL,0.6,0.45,True,True,True
33,shop-vendor,Vendor/Stand,Cheeses (wedge),"Cheese, Brie",NULL,0.2,0.23,False,False,False
34,shop-vendor,Vendor/Stand,Cheeses (wedge),"Cheese, Cheddar",NULL,1.0,0.23,False,True,True
35,shop-vendor,Vendor/Stand,Cheeses (wedge),"Cheese, Cottage",NULL,0.04,0.23,False,False,True
36,shop-vendor,Vendor/Stand,Cheeses (wedge),"Cheese, Parmesan",NULL,0.5,0.23,True,True,True
37,shop-vendor,Vendor/Stand,Cheeses (wedge),"Cheese, Specialty",NULL,2.0,0.23,True,False,True
38,shop-vendor,Vendor/Stand,Spices (ground),Cinnamon,Cinnamon is a spice obtained from the inner bark of the cinnamon trees. Cinnamon is used mainly as an aromatic condiment and flavoring additive.,2.0,0.45,True,False,True
39,shop-vendor,Vendor/Stand,Spices (ground),Coriander,NULL,0.05,0.45,True,False,True
40,shop-vendor,Vendor/Stand,Spices (ground),Cumin,NULL,1.0,0.45,True,False,True
41,shop-vendor,Vendor/Stand,Spices (ground),Ginger,Ginger is a flowering plant whose root is widely used as a spice and medicinal ingredient.,0.7,0.45,True,False,True
