id,item_name,description,category,sub-category,price,weight
1,Padded,Padded armor consists of quilted layers of cloth and batting (layers or sheets of raw cotton or wool).,Armor,Light Armor,5.0,3.63
2,Leather,The breastplate and shoulder protectors of this armor are made of leather that has been stiffened by being boiled in oil. The rest of the armor is made of softer and more flexible materials.,Armor,Light Armor,10.0,4.54
3,Studded Leather,"Made from tough but flexible leather, studded leather is reinforced with close-set rivets or spikes.",Armor,Light Armor,45.0,5.9
4,Hide,"This crude armor consists of thick furs and pelts. It is commonly worn by barbarian tribes, evil humanoids, and other folk who lack access to the tools and materials needed to create better armor.",Armor,Medium Armor,10.0,5.44
5,Chain Shirt,"Made of interlocking metal rings, a chain shirt is worn between layers of clothing or leather. This armor offers modest protection to the wearer's upper body and allows the sound of the rings rubbing against one another to be muffled by outer layers.",Armor,Medium Armor,50.0,9.07
6,Scale Mail,"This armor consists of a coat and leggings (and perhaps a separate skirt) of leather covered with overlapping pieces of metal, much like the scales of a fish. The suit includes gauntlets.",Armor,Medium Armor,50.0,20.41
7,Breastplate,"This armor consists of a fitted metal chest piece worn with supple leather. Although it leaves the legs and arms relatively unprotected, this armor provides good protection for the wearer's vital organs while leaving the wearer relatively unencumbered.",Armor,Medium Armor,400.0,9.07
8,Half Plate,Half plate consists of shaped metal plates that cover most of the wearer's body. It does not include leg protection beyond simple greaves that are attached with leather straps.,Armor,Medium Armor,750.0,18.14
9,Ring Mail,"This armor is leather armor with heavy rings sewn into it. The rings help reinforce the armor against blows from swords and axes. Ring mail is inferior to chain mail, and it's usually worn only by those who can't afford better armor.",Armor,Heavy Armor,30.0,18.14
10,Chain Mail,"Made of interlocking metal rings, chain mail includes a layer of quilted fabric worn underneath the mail to prevent chafing and to cushion the impact of blows. The suit includes gauntlets.",Armor,Heavy Armor,75.0,24.95
11,Plate,"Plate consists of shaped, interlocking metal plates to cover the entire body. A suit of plate includes gauntlets, heavy leather boots, a visored helmet, and thick layers of padding underneath the armor. Buckles and straps distribute the weight over the body.",Armor,Heavy Armor,1500.0,29.48
12,Splint,This armor is made of narrow vertical strips of metal riveted to a backing of leather that is worn over cloth padding. Flexible chain mail protects the joints.,Armor,Heavy Armor,200.0,27.22
13,Shield,A shield is made from wood or metal and is carried in one hand. Wielding a shield increases your Armor Class by 2. You can benefit from only one shield at a time.,Armor,Shield,10.0,2.72
14,Club,"A short staff or stick, usually made of wood. Proficiency with a club allows you to add your proficiency bonus to the attack roll for any attack you make with it.",Weapons,Simple Melee Weapons,0.1,0.91
15,Dagger,A knife with a very sharp point and usually two sharp edges. Proficiency with a dagger allows you to add your proficiency bonus to the attack roll for any attack you make with it.,Weapons,Simple Melee Weapons,2.0,0.45
16,Greatclub,"A large heavy shaft, typically made of wood. Proficiency with a greatclub allows you to add your proficiency bonus to the attack roll for any attack you make with it.",Weapons,Simple Melee Weapons,0.2,4.54
17,Handaxe,"A wood composite handle with a sharp edged head (called a 'bit'), typically made of iron or steel. Proficiency with a handaxe allows you to add your proficiency bonus to the attack roll for any attack you make with it.",Weapons,Simple Melee Weapons,5.0,0.91
18,Javelin,A javelin is a light spear designed primarily to be thrown. Proficiency with a javelin allows you to add your proficiency bonus to the attack roll for any attack you make with it.,Weapons,Simple Melee Weapons,0.5,0.91
19,Light Hammer,"The light hammer is a small sledge hammer, usually with a haft made of wood about one and a half feet long. Some have a pick on the back of the hammer head. Proficiency with a light hammer allows you to add your proficiency bonus to the attack roll for any attack you make with it.",Weapons,Simple Melee Weapons,2.0,0.91
20,Mace,A weapon with a heavy head on a solid shaft used to bludgeon opponents. Proficiency with a mace allows you to add your proficiency bonus to the attack roll for any attack you make with it.,Weapons,Simple Melee Weapons,5.0,1.81
21,Quarterstaff,"A staff of wood from 6 to 9 feet (about 2 to 3 m) long, used for attack and defense. Proficiency with a quarterstaff allows you to add your proficiency bonus to the attack roll for any attack you make with it.",Weapons,Simple Melee Weapons,0.2,1.81
22,Sickle,"A short-handled tool with a semicircular blade, typically used by farmers for cutting grain, lopping, or trimming. Proficiency with a sickle allows you to add your proficiency bonus to the attack roll for any attack you make with it.",Weapons,Simple Melee Weapons,1.0,0.91
23,Spear,"A pole weapon consisting of a shaft, usually of wood, with a pointed head. Proficiency with a spear allows you to add your proficiency bonus to the attack roll for any attack you make with it.",Weapons,Simple Melee Weapons,1.0,1.36
24,Light Crossbow,A ranged weapon that uses an elastic launching device consisting of a bow-like assembly mounted horizontally on a main frame. Proficiency with a light crossbow allows you to add your proficiency bonus to the attack roll for any attack you make with it.,Weapons,Simple Ranged Weapons,25.0,2.27
25,Dart,"Darts are thrown, ranged weapons. They are designed to fly such that a sharp, often weighted point will strike first. They can be distinguished from javelins by the presence of fletching (feathers on the tail) and a shaft that is shorter and/or more flexible. Darts can be palm sized, or several feet long. Proficiency with a dart allows you to add your proficiency bonus to the attack roll for any attack you make with it.",Weapons,Simple Ranged Weapons,0.05,0.11
26,Shortbow,"The shortbow is a flexible shaft of wood (or horn or bone) about 3 to 4 feet long with the ends connected by strong cord or a gut string that is a little shorter than the shaft, causing the wood to bend and keep the string under tension. Proficiency with a shortbow allows you to add your proficiency bonus to the attack roll for any attack you make with it.",Weapons,Simple Ranged Weapons,25.0,0.91
27,Sling,"A sling is a projectile weapon typically used to throw a blunt projectile such as a stone, clay, or lead ""sling-bullet"". It is also known as the shepherd's sling. Proficiency with a sling allows you to add your proficiency bonus to the attack roll for any attack you make with it.",Weapons,Simple Ranged Weapons,0.1,NULL
28,Battleaxe,"An axe head mounted on a wooden or metal haft about 2.5â€‹ to â€‹3 feet long. Some battleaxes were known to have a short spike or blade on the back of their axeheads, as well as a spike on the end of their shafts. Some came with belt hooks on the side of their heads. Proficiency with a battleaxe allows you to add your proficiency bonus to the attack roll for any attack you make with it.",Weapons,Martial Melee Weapons,10.0,1.81
29,Flail,A flail consists of a 2 feet long haft connected to a chain ending with a heavy metal ball or rod. This ball or rod was often spiked. Proficiency with a flail allows you to add your proficiency bonus to the attack roll for any attack you make with it.,Weapons,Martial Melee Weapons,10.0,0.91
30,Glaive,"A(or glave) is a European polearm, consisting of a single-edged blade (about 18 inches long) on the end of a 7-foot pole.have a small hook on the reverse side of the blade, to better catch riders. Proficiency with a glaive allows you to add your proficiency bonus to the attack roll for any attack you make with it.",Weapons,Martial Melee Weapons,20.0,2.72
31,Greataxe,"A large, heavy battleaxe with a double-bladed head. The shaft was usually constructed of stout wood. Proficiency with a greataxe allows you to add your proficiency bonus to the attack roll for any attack you make with it.",Weapons,Martial Melee Weapons,30.0,3.18
32,Greatsword,"A large sword that has a double-edged blade and requires two hands to wield, with an elongated hilt to accommodate the extra grip. Proficiency with a greatsword allows you to add your proficiency bonus to the attack roll for any attack you make with it.",Weapons,Martial Melee Weapons,50.0,2.72
33,Halberd,A halberd consists of an ax blade balanced by a pick with an elongated pike head at the end of the staff. It is usually about 5 to 6 feet long. Proficiency with a halberd allows you to add your proficiency bonus to the attack roll for any attack you make with it.,Weapons,Martial Melee Weapons,20.0,2.72
34,Lance,"A spear-like weapon used by cavalry for mounted combat. It usually consists of a long wooden shaft with a sharp metal point. Proficiency with a lance allows you to add your proficiency bonus to the attack roll for any attack you make with it. You have disadvantage when you use a lance to attack a target within 5 feet of you. Also, a lance requires two hands to wield when you aren't mounted.",Weapons,Martial Melee Weapons,10.0,2.72
35,Longsword,"A type of European sword characterized as having a cruciform hilt with a grip for two-handed use (6 to 12 inches). It has a straight, double-edged blade about 3 to 4 feet long. Proficiency with a longsword allows you to add your proficiency bonus to the attack roll for any attack you make with it.",Weapons,Martial Melee Weapons,15.0,1.36
36,Maul,"A maul is a long-handled hammer with a heavy head, of wood, lead, or iron. Similar in appearance and function to a modern sledgehammer, it is sometimes shown as having a spear-like spike on the fore-end of the haft. Proficiency with a maul allows you to add your proficiency bonus to the attack roll for any attack you make with it.",Weapons,Martial Melee Weapons,10.0,4.54
37,Morningstar,A morningstar is a club-like weapon consisting of a shaft with an attached ball adorned with one or more spikes. Proficiency with a morningstar allows you to add your proficiency bonus to the attack roll for any attack you make with it.,Weapons,Martial Melee Weapons,15.0,1.81
38,Pike,"A long spear with a heavy wooden shaft 10 to 20 feet long, tipped with a steel point. Proficiency with a pike allows you to add your proficiency bonus to the attack roll for any attack you make with it.",Weapons,Martial Melee Weapons,5.0,8.16
39,Rapier,A rapier (or) is a type of sword with a slender and sharply-pointed two-edged blade. Proficiency with a rapier allows you to add your proficiency bonus to the attack roll for any attack you make with it.,Weapons,Martial Melee Weapons,25.0,0.91
40,Scimitar,A short sword with a curved blade that broadens toward the point. Proficiency with a scimitar allows you to add your proficiency bonus to the attack roll for any attack you make with it.,Weapons,Martial Melee Weapons,25.0,1.36
41,Shortsword,"A smaller version of the longsword, but longer than a dagger or dirk. It has a 12 to 20 inch, double-edged blade that ends in a sharp point. It has a cross-guard, grip, and pommel. Proficiency with a shortsword allows you to add your proficiency bonus to the attack roll for any attack you make with it.",Weapons,Martial Melee Weapons,10.0,0.91
