id,shop,category,sub_category,item_name,price_base,weight,limited_stock,rural,urban,description
1,shop-inntavern,Menu - Breakfast Options,Commoner,Meat Stick,0.03,NULL,False,True,True,NULL
2,shop-inntavern,Menu - Breakfast Options,Commoner,Roasted Locusts,0.03,NULL,False,True,True,NULL
3,shop-inntavern,Menu - Breakfast Options,Commoner,Cheese Omelet,0.04,NULL,False,True,False,NULL
4,shop-inntavern,Menu - Breakfast Options,Commoner,Ham & Cheese on Rye,0.05,NULL,False,True,True,NULL
5,shop-inntavern,Menu - Breakfast Options,Merchant,Bacon & Egg Sandwich,0.3,NULL,True,True,True,NULL
6,shop-inntavern,Menu - Breakfast Options,Merchant,"Omelet ""Your Way""",0.3,NULL,False,True,True,NULL
7,shop-inntavern,Menu - Breakfast Options,Merchant,Bloodhawk Eggs,0.4,NULL,False,True,True,NULL
8,shop-inntavern,Menu - Breakfast Options,Merchant,Bacon Stuffed Bread,0.5,NULL,True,True,True,NULL
9,shop-inntavern,Menu - Breakfast Options,Noble,Frittata & Herbs,1.0,NULL,True,False,True,NULL
10,shop-inntavern,Menu - Breakfast Options,Noble,Bacon & Owlbear Eggs,2.0,NULL,True,False,True,NULL
11,shop-inntavern,Menu - Breakfast Options,Noble,Boar Ham Steak & Eggs,2.0,NULL,True,False,True,NULL
12,shop-inntavern,Menu - Breakfast Options,Noble,Truffle Omelet,3.0,NULL,True,False,True,NULL
13,shop-inntavern,Menu - Lunch Options,Commoner,Stockpot Stew/ Soup,0.04,NULL,True,False,False,NULL
14,shop-inntavern,Menu - Lunch Options,Commoner,"""Adventurer's"" Steak",0.04,NULL,False,True,True,NULL
15,shop-inntavern,Menu - Lunch Options,Commoner,Minced Pork,0.05,NULL,False,True,True,NULL
16,shop-inntavern,Menu - Lunch Options,Commoner,Roast Goat & Cheese,0.06,NULL,True,True,True,NULL
17,shop-inntavern,Menu - Lunch Options,Merchant,Roast Lamb & Cheese,0.4,NULL,True,True,True,NULL
18,shop-inntavern,Menu - Lunch Options,Merchant,Boar Tenderloin,0.5,NULL,False,True,True,NULL
19,shop-inntavern,Menu - Lunch Options,Merchant,Baked Goose Breast,0.5,NULL,True,True,True,NULL
20,shop-inntavern,Menu - Lunch Options,Merchant,Grilled Salmon,0.6,NULL,True,True,True,NULL
21,shop-inntavern,Menu - Lunch Options,Noble,Rack of Lamb,2.0,NULL,True,False,True,NULL
22,shop-inntavern,Menu - Lunch Options,Noble,Shellfish Platter,3.0,NULL,True,False,True,NULL
23,shop-inntavern,Menu - Lunch Options,Noble,Dragon Turtle Soup,4.0,NULL,True,False,True,NULL
24,shop-inntavern,Menu - Lunch Options,Noble,Roc Meat Tar Tar,5.0,NULL,True,False,True,NULL
25,shop-inntavern,Menu - Dinner Options,Commoner,Stockpot Stew/ Soup,0.04,NULL,True,False,False,NULL
26,shop-inntavern,Menu - Dinner Options,Commoner,Pigeon Pot Pie,0.05,NULL,False,True,True,NULL
27,shop-inntavern,Menu - Dinner Options,Commoner,'Tasha’s Hideous Stew',0.05,NULL,False,True,True,NULL
28,shop-inntavern,Menu - Dinner Options,Commoner,Rabbit and Potato Plate,0.06,NULL,True,True,True,NULL
29,shop-inntavern,Menu - Dinner Options,Merchant,Hunter's Pie,0.4,NULL,True,True,True,NULL
30,shop-inntavern,Menu - Dinner Options,Merchant,Bloodhawk Breast,0.5,NULL,False,True,True,NULL
31,shop-inntavern,Menu - Dinner Options,Merchant,Crocodile Steak,0.5,NULL,False,True,True,NULL
32,shop-inntavern,Menu - Dinner Options,Merchant,Roasted Bullywug Legs,0.6,NULL,True,True,True,NULL
33,shop-inntavern,Menu - Dinner Options,Noble,Buffalo Ribeye,2.0,NULL,True,False,True,NULL
34,shop-inntavern,Menu - Dinner Options,Noble,Sahuagin Caviar,3.0,NULL,False,True,True,NULL
35,shop-inntavern,Menu - Dinner Options,Noble,Owlbear Steak & Eggs,4.0,NULL,False,True,True,NULL
36,shop-inntavern,Menu - Dinner Options,Noble,[Color] Dragon Steak,5.0,NULL,True,False,True,NULL
37,shop-inntavern,Drinks,Non-Alcoholic Beverages,Coffee (cup),0.05,NULL,False,True,True,NULL
38,shop-inntavern,Drinks,Non-Alcoholic Beverages,"Goodberry ""Wine""",0.1,NULL,True,True,True,NULL
39,shop-inntavern,Drinks,Non-Alcoholic Beverages,Fruit Juice (Varies),0.05,NULL,True,False,True,NULL
40,shop-inntavern,Drinks,Non-Alcoholic Beverages,Milk (Local Variety),0.02,NULL,True,True,True,NULL
41,shop-inntavern,Drinks,Wine,Abbey Red Wine,0.2,NULL,False,True,True,This red wine comes from a variety of abbeys and monasteries that produce wine to help support their way of life. Each of these wines is slightly different and most consumers have a particular abbey they prefer.
42,shop-inntavern,Drinks,Wine,Bloodwine,0.2,NULL,False,True,True,"This very hearty wine is deep red in color and is said to be made from grapes grown over battlefields. Unknown to the public, it is actually made from raisins."
43,shop-inntavern,Drinks,Wine,Clarry Wine,0.1,NULL,False,True,True,"This is a generic table wine, often water down, then sweetened with honey."
